entry,mother_tongue,areas_returned_from,total_speakers,returned_bilingual_col3,subsidiary_language_printed,subsidiary_language,persons,printed_page,scan_leaf
1,Mon-Khmer Branch,Assam; Bengal; Burma,714762,262329,Burma Group,Burma Group,168937,510,515
1,Mon-Khmer Branch,Assam; Bengal; Burma,714762,262329,Tai (Shan) Group,Tai (Shan) Group,90927,510,515
1,Mon-Khmer Branch,Assam; Bengal; Burma,714762,262329,Bengali,Bengali,1400,510,515
1,Mon-Khmer Branch,Assam; Bengal; Burma,714762,262329,Other Tibeto Burman Languages,Other Tibeto-Burman languages,429,510,515
1,Mon-Khmer Branch,Assam; Bengal; Burma,714762,262329,Assamese,Assamese,319,510,515
1,Mon-Khmer Branch,Assam; Bengal; Burma,714762,262329,Karen Group,Karen Group,295,510,515
1,Mon-Khmer Branch,Assam; Bengal; Burma,714762,262329,Hindustani,Hindustani,21,510,515
1,Mon-Khmer Branch,Assam; Bengal; Burma,714762,262329,Naipali,Naipali,1,510,515
,Khasi,Assam; Bengal,234373,1906,Bengali,Bengali,1400,510,515
,Khasi,Assam; Bengal,234373,1906,Assamese,Assamese,319,510,515
,Khasi,Assam; Bengal,234373,1906,Tibeto-Burmese languages,Tibeto-Burmese Languages,165,510,515
,Khasi,Assam; Bengal,234373,1906,Hindustani,Hindustani,21,510,515
,Khasi,Assam; Bengal,234373,1906,Naipali,Naipali,1,510,515
2,Kherwari,Bengal; Central Provinces,891963,298777,Bengali,Bengali,273402,510,515
2,Kherwari,Bengal; Central Provinces,891963,298777,Hindustani,Hindustani,33333,510,515
2,Kherwari,Bengal; Central Provinces,891963,298777,Naipali,Naipali,1279,510,515
2,Kherwari,Bengal; Central Provinces,891963,298777,Oriya,Oriya,994,510,515
2,Kherwari,Bengal; Central Provinces,891963,298777,Kurukh,Kurukh or Oraon,65,510,515
2,Kherwari,Bengal; Central Provinces,891963,298777,Telugu,Telugu,1,510,515
3,Korku,Central Provinces and Berar,161975,105690,Hindustani,Hindustani,103465,510,515
3,Korku,Central Provinces and Berar,161975,105690,Marathi,Marathi,2044,510,515
3,Korku,Central Provinces and Berar,161975,105690,Telugu,Telugu,158,510,515
3,Korku,Central Provinces and Berar,161975,105690,Gondi,Gondi,23,510,515
4,Kharia,Bengal; Bihar and Orissa; Central Provinces,137659,108266,Hindustani,Hindustani,77547,510,515
4,Kharia,Bengal; Bihar and Orissa; Central Provinces,137659,108266,Oriya,Oriya,28687,510,515
4,Kharia,Bengal; Bihar and Orissa; Central Provinces,137659,108266,Bengali,Bengali,1458,510,515
4,Kharia,Bengal; Bihar and Orissa; Central Provinces,137659,108266,Naipali,Naipali,460,510,515
4,Kharia,Bengal; Bihar and Orissa; Central Provinces,137659,108266,Santali,Santali,118,510,515
4,Kharia,Bengal; Bihar and Orissa; Central Provinces,137659,108266,Ho,Ho,25,510,515
4,Kharia,Bengal; Bihar and Orissa; Central Provinces,137659,108266,Rai,Rai,6,510,515
4,Kharia,Bengal; Bihar and Orissa; Central Provinces,137659,108266,Bhotia,Bhotia,3,510,515
5,Savara,Madras,185562,71448,Oriya,Oriya,35349,510,515
5,Savara,Madras,185562,71448,Telugu,Telugu,34567,510,515
5,Savara,Madras,185562,71448,Hill and Aboriginal,Hill and Aboriginal,1532,510,515
6,Gadaba,Madras,43667,31886,Oriya,Oriya,18003,510,515
6,Gadaba,Madras,43667,31886,Telugu,Telugu,13803,510,515
6,Gadaba,Madras,43667,31886,Hill and Aboriginal,Hill and Aboriginal,80,510,515
7,Bhotia,Bengal; United Provinces; Sikkim,33652,21023,Naipali,Naipali,17881,510,515
7,Bhotia,Bengal; United Provinces; Sikkim,33652,21023,Hindustani,Hindustani,3215,510,515
7,Bhotia,Bengal; United Provinces; Sikkim,33652,21023,Rong,Rong,64,510,515
7,Bhotia,Bengal; United Provinces; Sikkim,33652,21023,Bengal,Bengali,3,510,515
7,Bhotia,Bengal; United Provinces; Sikkim,33652,21023,Limbu,Limbu,1,510,515
8,Kiranti,Bengal; Sikkim,85359,61475,Naipali,Naipali,60071,510,515
8,Kiranti,Bengal; Sikkim,85359,61475,Hindustani,Hindustani,500,510,515
8,Kiranti,Bengal; Sikkim,85359,61475,Bengali,Bengali,104,510,515
8,Kiranti,Bengal; Sikkim,85359,61475,Bhotia,Bhotia,1,510,515
8,Kiranti,Bengal; Sikkim,85359,61475,Rong,Rong,1,510,515
9,Gurung,Bengal; Sikkim,2831,1891,Naipali,Naipali,1869,510,515
9,Gurung,Bengal; Sikkim,2831,1891,Hindustani,Hindustani,37,510,515
10,Murmi,Bengal; Sikkim,42642,37348,Naipali,Naipali,37198,510,515
10,Murmi,Bengal; Sikkim,42642,37348,Hindustani,Hindustani,167,510,515
10,Murmi,Bengal; Sikkim,42642,37348,Bhotia,Bhotia,1,510,515
10,Murmi,Bengal; Sikkim,42642,37348,Rai,Rai,1,510,515
10,Murmi,Bengal; Sikkim,42642,37348,Rong,Rong,1,510,515
11,Sunwar,Bengal; Sikkim,3395,3202,Naipali,Naipali,3169,510,515
11,Sunwar,Bengal; Sikkim,3395,3202,Hindustani,Hindustani,45,510,515
12,Magari,Bengal; Sikkim,14997,12336,Naipali,Naipali,12166,510,515
12,Magari,Bengal; Sikkim,14997,12336,Hindustani,Hindustani,201,510,515
12,Magari,Bengal; Sikkim,14997,12336,Bengali,Bengali,1,510,515
13,Newari,Bengal; Sikkim,9455,8554,Naipali,Naipali,8539,510,515
13,Newari,Bengal; Sikkim,9455,8554,Hindustani,Hindustani,63,510,515
13,Newari,Bengal; Sikkim,9455,8554,Bengali,Bengali,3,510,515
13,Newari,Bengal; Sikkim,9455,8554,Rai,Rai,1,510,515
14,Rong or Lepcha,Bengal; Sikkim,25149,16805,Naipali,Naipali,16536,510,515
14,Rong or Lepcha,Bengal; Sikkim,25149,16805,Bhotia,Bhotia,196,510,515
14,Rong or Lepcha,Bengal; Sikkim,25149,16805,Hindustani,Hindustani,176,510,515
14,Rong or Lepcha,Bengal; Sikkim,25149,16805,Limbu,Limbu,2,510,515
15,Bara or Bodo Group,Bengal,246870,20572,Bengali,Bengali,19456,510,515
15,Bara or Bodo Group,Bengal,246870,20572,Hindustani,Hindustani,1211,510,515
15,Bara or Bodo Group,Bengal,246870,20572,Arakanese,Arakanese,2,510,515
16,Kuki-Chin Group,Bengal,36606,4152,Bengali,Bengali,4007,510,515
16,Kuki-Chin Group,Bengal,36606,4152,Arakanese,Arakanese,79,510,515
16,Kuki-Chin Group,Bengal,36606,4152,Hindustani,Hindustani,63,510,515
16,Kuki-Chin Group,Bengal,36606,4152,Naipali,Naipali,2,510,515
16,Kuki-Chin Group,Bengal,36606,4152,Lushei,Lushei,2,510,515
17,Burma Group,Bengal; Burma,9957075,30551,Tai (Shan) Group,Tai (Shan) Group,16536,510,515
17,Burma Group,Bengal; Burma,9957075,30551,Other Tibeto-Burmese Groups,Other Tibeto-Burman languages,4501,510,515
17,Burma Group,Bengal; Burma,9957075,30551,Karen Group,Karen Group,3488,510,515
17,Burma Group,Bengal; Burma,9957075,30551,Bengali,Bengali,2721,510,515
17,Burma Group,Bengal; Burma,9957075,30551,Mon Khmer Group,Mon-Khmer Group,2621,510,515
17,Burma Group,Bengal; Burma,9957075,30551,Burmese,Burmese,511,510,515
17,Burma Group,Bengal; Burma,9957075,30551,Arakanese,Arakanese,80,510,515
17,Burma Group,Bengal; Burma,9957075,30551,Hindustani,Hindustani,17,510,515
17,Burma Group,Bengal; Burma,9957075,30551,Naipali,Naipali,10,510,515
17,Burma Group,Bengal; Burma,9957075,30551,Khyang,Khyang,8,510,515
18,Mro,Bengal,3793,1,Bengali,Bengali,1,510,515
19,Tai Group,Burma,1021909,247781,Burma Group,Burma Group,240185,510,515
19,Tai Group,Burma,1021909,247781,Karen Group,Karen Group,5230,510,515
19,Tai Group,Burma,1021909,247781,Other Tibeto-Burmese Groups,Other Tibeto-Burman languages,1393,510,515
19,Tai Group,Burma,1021909,247781,Mon-Khmer Group,Mon-Khmer Group,973,510,515
20,Karen Group,Burma,1341066,782832,Burma Group,Burma Group,763897,510,515
20,Karen Group,Burma,1341066,782832,Tai (Shan) Group,Tai (Shan) Group,15101,510,515
20,Karen Group,Burma,1341066,782832,Mon Khmer Group,Mon-Khmer Group,3810,510,515
20,Karen Group,Burma,1341066,782832,Other Tibeto-Burmese Groups,Other Tibeto-Burman languages,24,510,515
21,Tamil,Bengal; Bihar and Orissa; Madras; Hyderabad; Cochin; Travancore; Mysore,20177594,755118,Telugu,Telugu,359161,510,515
21,Tamil,Bengal; Bihar and Orissa; Madras; Hyderabad; Cochin; Travancore; Mysore,20177594,755118,Malayalam,Malayalam,222999,510,515
21,Tamil,Bengal; Bihar and Orissa; Madras; Hyderabad; Cochin; Travancore; Mysore,20177594,755118,Kanarese,Kanarese,124209,510,515
21,Tamil,Bengal; Bihar and Orissa; Madras; Hyderabad; Cochin; Travancore; Mysore,20177594,755118,Hindustani,Hindustani,43089,510,515
21,Tamil,Bengal; Bihar and Orissa; Madras; Hyderabad; Cochin; Travancore; Mysore,20177594,755118,English,English,4796,510,515
21,Tamil,Bengal; Bihar and Orissa; Madras; Hyderabad; Cochin; Travancore; Mysore,20177594,755118,Marathi,Marathi,207,510,515
21,Tamil,Bengal; Bihar and Orissa; Madras; Hyderabad; Cochin; Travancore; Mysore,20177594,755118,Saurasthri,Saurashtri,160,510,515
21,Tamil,Bengal; Bihar and Orissa; Madras; Hyderabad; Cochin; Travancore; Mysore,20177594,755118,Oriya,Oriya,149,510,515
21,Tamil,Bengal; Bihar and Orissa; Madras; Hyderabad; Cochin; Travancore; Mysore,20177594,755118,Bengali,Bengali,127,510,515
21,Tamil,Bengal; Bihar and Orissa; Madras; Hyderabad; Cochin; Travancore; Mysore,20177594,755118,Tulu,Tulu,93,510,515
21,Tamil,Bengal; Bihar and Orissa; Madras; Hyderabad; Cochin; Travancore; Mysore,20177594,755118,Hill and Aboriginal,Hill and Aboriginal,74,510,515
21,Tamil,Bengal; Bihar and Orissa; Madras; Hyderabad; Cochin; Travancore; Mysore,20177594,755118,Konkani,Konkani,14,510,515
21,Tamil,Bengal; Bihar and Orissa; Madras; Hyderabad; Cochin; Travancore; Mysore,20177594,755118,Banjari,Banjari,11,510,515
21,Tamil,Bengal; Bihar and Orissa; Madras; Hyderabad; Cochin; Travancore; Mysore,20177594,755118,Naipali,Naipali,10,510,515
21,Tamil,Bengal; Bihar and Orissa; Madras; Hyderabad; Cochin; Travancore; Mysore,20177594,755118,Mundari,Mundari,5,510,515
21,Tamil,Bengal; Bihar and Orissa; Madras; Hyderabad; Cochin; Travancore; Mysore,20177594,755118,Gujarati,Gujarati,1,510,515
22,Malayalam,Bengal; Coorg; Madras; Travancore; Cochin,9101440,183829,Tamil,Tamil,72692,510,515
22,Malayalam,Bengal; Coorg; Madras; Travancore; Cochin,9101440,183829,Tulu,Tulu,59370,510,515
22,Malayalam,Bengal; Coorg; Madras; Travancore; Cochin,9101440,183829,English,English,29342,510,515
22,Malayalam,Bengal; Coorg; Madras; Travancore; Cochin,9101440,183829,Kanarese,Kanarese,7321,510,515
22,Malayalam,Bengal; Coorg; Madras; Travancore; Cochin,9101440,183829,Telugu,Telugu,1245,510,515
22,Malayalam,Bengal; Coorg; Madras; Travancore; Cochin,9101440,183829,Hindustani,Hindustani,1084,510,515
22,Malayalam,Bengal; Coorg; Madras; Travancore; Cochin,9101440,183829,Coorgi,Kodagu or Coorgi,285,510,515
22,Malayalam,Bengal; Coorg; Madras; Travancore; Cochin,9101440,183829,Konkani,Konkani,28,510,515
22,Malayalam,Bengal; Coorg; Madras; Travancore; Cochin,9101440,183829,Bengali,Bengali,21,510,515
22,Malayalam,Bengal; Coorg; Madras; Travancore; Cochin,9101440,183829,Oriya,Oriya,5,510,515
23,Kanarese,Bengal; Bombay; Coorg; Madras; Hyderabad; Cochin; Travancore; Mysore,11196103,1378517,Telugu,Telugu,487053,510,515
23,Kanarese,Bengal; Bombay; Coorg; Madras; Hyderabad; Cochin; Travancore; Mysore,11196103,1378517,Tamil,Tamil,463005,510,515
23,Kanarese,Bengal; Bombay; Coorg; Madras; Hyderabad; Cochin; Travancore; Mysore,11196103,1378517,Marathi,Marathi,185521,510,515
23,Kanarese,Bengal; Bombay; Coorg; Madras; Hyderabad; Cochin; Travancore; Mysore,11196103,1378517,Hindustani,Hindustani,84457,510,515
23,Kanarese,Bengal; Bombay; Coorg; Madras; Hyderabad; Cochin; Travancore; Mysore,11196103,1378517,Tulu,Tulu,38015,510,515
23,Kanarese,Bengal; Bombay; Coorg; Madras; Hyderabad; Cochin; Travancore; Mysore,11196103,1378517,Western Hind.,Western Hindi,28038,510,515
23,Kanarese,Bengal; Bombay; Coorg; Madras; Hyderabad; Cochin; Travancore; Mysore,11196103,1378517,Konkani,Konkani,15457,510,515
23,Kanarese,Bengal; Bombay; Coorg; Madras; Hyderabad; Cochin; Travancore; Mysore,11196103,1378517,Malayalam,Malayalam,13953,510,515
23,Kanarese,Bengal; Bombay; Coorg; Madras; Hyderabad; Cochin; Travancore; Mysore,11196103,1378517,Kodagu or Coorgi,Kodagu or Coorgi,1342,510,515
23,Kanarese,Bengal; Bombay; Coorg; Madras; Hyderabad; Cochin; Travancore; Mysore,11196103,1378517,English,English,566,510,515
23,Kanarese,Bengal; Bombay; Coorg; Madras; Hyderabad; Cochin; Travancore; Mysore,11196103,1378517,Gujarati,Gujarati,251,510,515
23,Kanarese,Bengal; Bombay; Coorg; Madras; Hyderabad; Cochin; Travancore; Mysore,11196103,1378517,Banjari,Banjari,228,510,515
23,Kanarese,Bengal; Bombay; Coorg; Madras; Hyderabad; Cochin; Travancore; Mysore,11196103,1378517,Hill and Aboriginal,Hill and Aboriginal,36,510,515
23,Kanarese,Bengal; Bombay; Coorg; Madras; Hyderabad; Cochin; Travancore; Mysore,11196103,1378517,Oriya,Oriya,15,510,515
23,Kanarese,Bengal; Bombay; Coorg; Madras; Hyderabad; Cochin; Travancore; Mysore,11196103,1378517,Bengali,Bengali,2,510,515
23,Kanarese,Bengal; Bombay; Coorg; Madras; Hyderabad; Cochin; Travancore; Mysore,11196103,1378517,Yerava,Yerava,1,510,515
24,Kodagu or Coorgi,Coorg,44585,44585,Kanarese,Kanarese,22870,510,515
24,Kodagu or Coorgi,Coorg,44585,44585,Malayalam,Malayalam,58,510,515
24,Kodagu or Coorgi,Coorg,44585,44585,Tulu,Tulu,19,510,515
24,Kodagu or Coorgi,Coorg,44585,44585,Yerava,Yerava,1,510,515
25,Tulu,Coorg; Madras; Cochin; Travancore; Mysore,629425,99987,Kanarese,Kanarese,81850,510,515
25,Tulu,Coorg; Madras; Cochin; Travancore; Mysore,629425,99987,Malayalam,Malayalam,8361,510,515
25,Tulu,Coorg; Madras; Cochin; Travancore; Mysore,629425,99987,Tamil,Tamil,640,510,515
25,Tulu,Coorg; Madras; Cochin; Travancore; Mysore,629425,99987,Kodagu or Coorgi,Kodagu or Coorgi,443,510,515
25,Tulu,Coorg; Madras; Cochin; Travancore; Mysore,629425,99987,Hindustani,Hindustani,234,510,515
25,Tulu,Coorg; Madras; Cochin; Travancore; Mysore,629425,99987,Telugu,Telugu,88,510,515
25,Tulu,Coorg; Madras; Cochin; Travancore; Mysore,629425,99987,Konkani,Konkani,59,510,515
25,Tulu,Coorg; Madras; Cochin; Travancore; Mysore,629425,99987,English,English,28,510,515
25,Tulu,Coorg; Madras; Cochin; Travancore; Mysore,629425,99987,Marathi,Marathi,11,510,515
25,Tulu,Coorg; Madras; Cochin; Travancore; Mysore,629425,99987,Yerava,Yerava,10,510,515
26,Kurukh or Oraon,Bengal; Bihar and Orissa,984486,620889,Hindustani,Hindustani,469785,511,516
26,Kurukh or Oraon,Bengal; Bihar and Orissa,984486,620889,Oriya,Oriya,126759,511,516
26,Kurukh or Oraon,Bengal; Bihar and Orissa,984486,620889,Bengali,Bengali,18723,511,516
26,Kurukh or Oraon,Bengal; Bihar and Orissa,984486,620889,Mundari,Mundari,4665,511,516
26,Kurukh or Oraon,Bengal; Bihar and Orissa,984486,620889,Naipali,Naipali,928,511,516
26,Kurukh or Oraon,Bengal; Bihar and Orissa,984486,620889,Ho,Ho,311,511,516
26,Kurukh or Oraon,Bengal; Bihar and Orissa,984486,620889,Kherwari,Kherwari,7,511,516
26,Kurukh or Oraon,Bengal; Bihar and Orissa,984486,620889,Santali,Santali,6,511,516
27,Malto,Bengal; Bihar and Orissa,70755,9732,Hindustani,Hindustani,6407,511,516
27,Malto,Bengal; Bihar and Orissa,70755,9732,Bengali,Bengali,2446,511,516
27,Malto,Bengal; Bihar and Orissa,70755,9732,Santali,Santali,849,511,516
27,Malto,Bengal; Bihar and Orissa,70755,9732,Oriya,Oriya,30,511,516
28,Gondi,Bengal; Bihar and Orissa; Central Provinces and Berar; Central India Agency; Hyderabad,1720790,867574,Hindustani,Hindustani,495823,511,516
28,Gondi,Bengal; Bihar and Orissa; Central Provinces and Berar; Central India Agency; Hyderabad,1720790,867574,Marathi,Marathi,321388,511,516
28,Gondi,Bengal; Bihar and Orissa; Central Provinces and Berar; Central India Agency; Hyderabad,1720790,867574,Telugu,Telugu,21592,511,516
28,Gondi,Bengal; Bihar and Orissa; Central Provinces and Berar; Central India Agency; Hyderabad,1720790,867574,Western Hindi,Western Hindi,11576,511,516
28,Gondi,Bengal; Bihar and Orissa; Central Provinces and Berar; Central India Agency; Hyderabad,1720790,867574,Eastern Hindi,Eastern Hindi,10053,511,516
28,Gondi,Bengal; Bihar and Orissa; Central Provinces and Berar; Central India Agency; Hyderabad,1720790,867574,Oriya,Oriya,5372,511,516
28,Gondi,Bengal; Bihar and Orissa; Central Provinces and Berar; Central India Agency; Hyderabad,1720790,867574,Rajasthani,Rajasthani,1432,511,516
28,Gondi,Bengal; Bihar and Orissa; Central Provinces and Berar; Central India Agency; Hyderabad,1720790,867574,Ho,Ho,195,511,516
28,Gondi,Bengal; Bihar and Orissa; Central Provinces and Berar; Central India Agency; Hyderabad,1720790,867574,Korku,Korku,130,511,516
28,Gondi,Bengal; Bihar and Orissa; Central Provinces and Berar; Central India Agency; Hyderabad,1720790,867574,Kanarese,Kanarese,12,511,516
28,Gondi,Bengal; Bihar and Orissa; Central Provinces and Berar; Central India Agency; Hyderabad,1720790,867574,Bengali,Bengali,1,511,516
29,Kandhi or Kui,Bihar and Orissa; Madras,578928,194239,Oriya,Oriya,145117,511,516
29,Kandhi or Kui,Bihar and Orissa; Madras,578928,194239,Telugu,Telugu,44994,511,516
29,Kandhi or Kui,Bihar and Orissa; Madras,578928,194239,Hill and Aboriginal,Hill and Aboriginal,4120,511,516
29,Kandhi or Kui,Bihar and Orissa; Madras,578928,194239,Hindustani,Hindustani,8,511,516
30,Telugu,Bengal; Bihar and Orissa; Bombay; Central Provinces and Berar; Madras; Hyderabad; Cochin; Travancore; Mysore,26176411,3575685,Tamil,Tamil,2333625,511,516
30,Telugu,Bengal; Bihar and Orissa; Bombay; Central Provinces and Berar; Madras; Hyderabad; Cochin; Travancore; Mysore,26176411,3575685,Kanarese,Kanarese,710825,511,516
30,Telugu,Bengal; Bihar and Orissa; Bombay; Central Provinces and Berar; Madras; Hyderabad; Cochin; Travancore; Mysore,26176411,3575685,Hindustani,Hindustani,233262,511,516
30,Telugu,Bengal; Bihar and Orissa; Bombay; Central Provinces and Berar; Madras; Hyderabad; Cochin; Travancore; Mysore,26176411,3575685,Marathi,Marathi,144148,511,516
30,Telugu,Bengal; Bihar and Orissa; Bombay; Central Provinces and Berar; Madras; Hyderabad; Cochin; Travancore; Mysore,26176411,3575685,Oriya,Oriya,122471,511,516
30,Telugu,Bengal; Bihar and Orissa; Bombay; Central Provinces and Berar; Madras; Hyderabad; Cochin; Travancore; Mysore,26176411,3575685,Malayalam,Malayalam,21286,511,516
30,Telugu,Bengal; Bihar and Orissa; Bombay; Central Provinces and Berar; Madras; Hyderabad; Cochin; Travancore; Mysore,26176411,3575685,Hill and Aboriginal,Hill and Aboriginal,4232,511,516
30,Telugu,Bengal; Bihar and Orissa; Bombay; Central Provinces and Berar; Madras; Hyderabad; Cochin; Travancore; Mysore,26176411,3575685,Western Hindi,Western Hindi,3035,511,516
30,Telugu,Bengal; Bihar and Orissa; Bombay; Central Provinces and Berar; Madras; Hyderabad; Cochin; Travancore; Mysore,26176411,3575685,Gondi,Gondi,1243,511,516
30,Telugu,Bengal; Bihar and Orissa; Bombay; Central Provinces and Berar; Madras; Hyderabad; Cochin; Travancore; Mysore,26176411,3575685,Bengali,Bengali,807,511,516
30,Telugu,Bengal; Bihar and Orissa; Bombay; Central Provinces and Berar; Madras; Hyderabad; Cochin; Travancore; Mysore,26176411,3575685,English,English,401,511,516
30,Telugu,Bengal; Bihar and Orissa; Bombay; Central Provinces and Berar; Madras; Hyderabad; Cochin; Travancore; Mysore,26176411,3575685,Gujarati,Gujarati,211,511,516
30,Telugu,Bengal; Bihar and Orissa; Bombay; Central Provinces and Berar; Madras; Hyderabad; Cochin; Travancore; Mysore,26176411,3575685,Tulu,Tulu,66,511,516
30,Telugu,Bengal; Bihar and Orissa; Bombay; Central Provinces and Berar; Madras; Hyderabad; Cochin; Travancore; Mysore,26176411,3575685,Naipali,Naipali,15,511,516
30,Telugu,Bengal; Bihar and Orissa; Bombay; Central Provinces and Berar; Madras; Hyderabad; Cochin; Travancore; Mysore,26176411,3575685,Arabic,Arabic,5,511,516
30,Telugu,Bengal; Bihar and Orissa; Bombay; Central Provinces and Berar; Madras; Hyderabad; Cochin; Travancore; Mysore,26176411,3575685,Banjari,Banjari,4,511,516
30,Telugu,Bengal; Bihar and Orissa; Bombay; Central Provinces and Berar; Madras; Hyderabad; Cochin; Travancore; Mysore,26176411,3575685,Saurashtri,Saurashtri,2,511,516
30,Telugu,Bengal; Bihar and Orissa; Bombay; Central Provinces and Berar; Madras; Hyderabad; Cochin; Travancore; Mysore,26176411,3575685,Konkani,Konkani,2,511,516
31,Brahui,Baluchistan; Bombay,207040,48585,Sindhi,Sindhi,31198,511,516
31,Brahui,Baluchistan; Bombay,207040,48585,Balochi,Balochi,6738,511,516
31,Brahui,Baluchistan; Bombay,207040,48585,Western Hindi,Western Hindi,5319,511,516
31,Brahui,Baluchistan; Bombay,207040,48585,Pashto,Pashto,2663,511,516
31,Brahui,Baluchistan; Bombay,207040,48585,Dehwari,Dehwari,1795,511,516
31,Brahui,Baluchistan; Bombay,207040,48585,Persian,Persian,684,511,516
31,Brahui,Baluchistan; Bombay,207040,48585,Unspecified Jagdali and Jatki,Unspecified Jagdali and Jatki,90,511,516
31,Brahui,Baluchistan; Bombay,207040,48585,Lahnda,Lahnda,51,511,516
31,Brahui,Baluchistan; Bombay,207040,48585,Kachchhi,Kachchhi,35,511,516
31,Brahui,Baluchistan; Bombay,207040,48585,Thareli or Dhatki,Thareli or Dhatki,12,511,516
32,Pashto,Baluchistan; Bengal; North-West Frontier Province; Punjab,1594303,84148,Lahnda,Lahnda,38668,511,516
32,Pashto,Baluchistan; Bengal; North-West Frontier Province; Punjab,1594303,84148,Panjabi,Panjabi,21295,511,516
32,Pashto,Baluchistan; Bengal; North-West Frontier Province; Punjab,1594303,84148,Hindustani,Hindustani,14138,511,516
32,Pashto,Baluchistan; Bengal; North-West Frontier Province; Punjab,1594303,84148,Brahui,Brahui,2399,511,516
32,Pashto,Baluchistan; Bengal; North-West Frontier Province; Punjab,1594303,84148,English,English,2095,511,516
32,Pashto,Baluchistan; Bengal; North-West Frontier Province; Punjab,1594303,84148,Persian,Persian,2013,511,516
32,Pashto,Baluchistan; Bengal; North-West Frontier Province; Punjab,1594303,84148,Balochi,Balochi,1185,511,516
32,Pashto,Baluchistan; Bengal; North-West Frontier Province; Punjab,1594303,84148,Unspecified Jagdali and Jatki,Unspecified Jagdali and Jatki,1060,511,516
32,Pashto,Baluchistan; Bengal; North-West Frontier Province; Punjab,1594303,84148,Arabic,Arabic,578,511,516
32,Pashto,Baluchistan; Bengal; North-West Frontier Province; Punjab,1594303,84148,Dehwari,Dehwari,184,511,516
32,Pashto,Baluchistan; Bengal; North-West Frontier Province; Punjab,1594303,84148,Bengali,Bengali,173,511,516
32,Pashto,Baluchistan; Bengal; North-West Frontier Province; Punjab,1594303,84148,Gujari,Gujari,139,511,516
32,Pashto,Baluchistan; Bengal; North-West Frontier Province; Punjab,1594303,84148,Hindi,Hindi,116,511,516
32,Pashto,Baluchistan; Bengal; North-West Frontier Province; Punjab,1594303,84148,Kohistani,Kohistani,39,511,516
32,Pashto,Baluchistan; Bengal; North-West Frontier Province; Punjab,1594303,84148,Western Pahari,Western Pahari,17,511,516
32,Pashto,Baluchistan; Bengal; North-West Frontier Province; Punjab,1594303,84148,Turkish,Turkish,6,511,516
33,Balochi,Baluchistan; Bombay; Punjab,625708,235791,Sindhi,Sindhi,200570,511,516
33,Balochi,Baluchistan; Bombay; Punjab,625708,235791,Lahnda,Lahnda,12889,511,516
33,Balochi,Baluchistan; Bombay; Punjab,625708,235791,Brahui,Brahui,16904,511,516
33,Balochi,Baluchistan; Bombay; Punjab,625708,235791,Western Hindi,Western Hindi,2047,511,516
33,Balochi,Baluchistan; Bombay; Punjab,625708,235791,Pashto,Pashto,1562,511,516
33,Balochi,Baluchistan; Bombay; Punjab,625708,235791,Dehwari,Dehwari,941,511,516
33,Balochi,Baluchistan; Bombay; Punjab,625708,235791,Siraiki or Jatki,Siraiki or Jatki,842,511,516
33,Balochi,Baluchistan; Bombay; Punjab,625708,235791,Persian,Persian,295,511,516
33,Balochi,Baluchistan; Bombay; Punjab,625708,235791,Unspecified Jagdali and Jatki,Unspecified Jagdali and Jatki,154,511,516
33,Balochi,Baluchistan; Bombay; Punjab,625708,235791,Gujarati,Gujarati,86,511,516
33,Balochi,Baluchistan; Bombay; Punjab,625708,235791,Hindustani,Hindustani,82,511,516
33,Balochi,Baluchistan; Bombay; Punjab,625708,235791,Marathi,Marathi,13,511,516
34,Persian,Baluchistan,5233,2487,Brahui,Brahui,2305,511,516
34,Persian,Baluchistan,5233,2487,Western Hindi,Western Hindi,163,511,516
34,Persian,Baluchistan,5233,2487,Pashto,Pashto,11,511,516
34,Persian,Baluchistan,5233,2487,Sindhi,Sindhi,8,511,516
35,Shina,Jammu and Kashmir,68199,413,Panjabi,Panjabi,381,511,516
35,Shina,Jammu and Kashmir,68199,413,Kashmiri,Kashmiri,28,511,516
35,Shina,Jammu and Kashmir,68199,413,Dogri,Dogri,4,511,516
